start_place_name,end_place_name,month,count
Assistentinpolku,Assistentinpolku,2018-05,55
Assistentinpolku,Assistentinpolku,2018-06,23
Assistentinpolku,Assistentinpolku,2018-07,22
Assistentinpolku,Assistentinpolku,2018-08,21
Assistentinpolku,Assistentinpolku,2018-09,44
Assistentinpolku,Assistentinpolku,2018-10,49
Assistentinpolku,Assistentinpolku,2018-11,41
Assistentinpolku,Assistentinpolku,2018-12,26
Assistentinpolku,Assistentinpolku,2019-01,21
Assistentinpolku,Assistentinpolku,2019-02,11
Assistentinpolku,Assistentinpolku,2019-03,28
Assistentinpolku,Assistentinpolku,2019-04,64
Assistentinpolku,Assistentinpolku,2019-05,39
Assistentinpolku,Assistentinpolku,2019-06,34
Assistentinpolku,Assistentinpolku,2019-07,29
Assistentinpolku,Assistentinpolku,2019-08,27
Assistentinpolku,Assistentinpolku,2019-09,43
Assistentinpolku,Assistentinpolku,2019-10,29
Assistentinpolku,Assistentinpolku,2019-11,17
Assistentinpolku,Assistentinpolku,2019-12,16
Assistentinpolku,Assistentinpolku,2020-01,4
Assistentinpolku,Assistentinpolku,2020-02,15
Assistentinpolku,Assistentinpolku,2020-03,5
Assistentinpolku,Assistentinpolku,2020-04,3
Assistentinpolku,Brahenkatu,2018-05,10
Assistentinpolku,Brahenkatu,2018-06,12
Assistentinpolku,Brahenkatu,2018-07,6
Assistentinpolku,Brahenkatu,2018-08,5
Assistentinpolku,Brahenkatu,2018-09,8
Assistentinpolku,Brahenkatu,2018-10,15
Assistentinpolku,Brahenkatu,2018-11,11
Assistentinpolku,Brahenkatu,2018-12,8
Assistentinpolku,Brahenkatu,2019-01,3
Assistentinpolku,Brahenkatu,2019-02,5
Assistentinpolku,Brahenkatu,2019-03,7
Assistentinpolku,Brahenkatu,2019-04,15
Assistentinpolku,Brahenkatu,2019-05,8
Assistentinpolku,Brahenkatu,2019-06,7
Assistentinpolku,Brahenkatu,2019-07,5
Assistentinpolku,Brahenkatu,2019-08,12
Assistentinpolku,Brahenkatu,2019-09,14
Assistentinpolku,Brahenkatu,2019-10,11
Assistentinpolku,Brahenkatu,2019-11,1
Assistentinpolku,Brahenkatu,2019-12,4
Assistentinpolku,Brahenkatu,2020-01,5
Assistentinpolku,Brahenkatu,2020-02,3
Assistentinpolku,Brahenkatu,2020-03,4
Assistentinpolku,Datacity,2018-05,9
Assistentinpolku,Datacity,2018-06,10
Assistentinpolku,Datacity,2018-07,6
Assistentinpolku,Datacity,2018-08,1
Assistentinpolku,Datacity,2018-09,6
Assistentinpolku,Datacity,2018-10,10
Assistentinpolku,Datacity,2018-11,7
Assistentinpolku,Datacity,2018-12,2
Assistentinpolku,Datacity,2019-01,1
Assistentinpolku,Datacity,2019-02,2
Assistentinpolku,Datacity,2019-03,4
Assistentinpolku,Datacity,2019-04,8
Assistentinpolku,Datacity,2019-05,6
Assistentinpolku,Datacity,2019-06,4
Assistentinpolku,Datacity,2019-07,1
Assistentinpolku,Datacity,2019-08,6
Assistentinpolku,Datacity,2019-09,14
Assistentinpolku,Datacity,2019-10,4
Assistentinpolku,Datacity,2019-11,4
Assistentinpolku,Datacity,2019-12,2
Assistentinpolku,Datacity,2020-01,1
Assistentinpolku,Datacity,2020-02,2
Assistentinpolku,Datacity,2020-03,3
Assistentinpolku,Datacity,2020-04,2
Assistentinpolku,Eerikinkatu,2018-05,2
Assistentinpolku,Eerikinkatu,2018-06,2
Assistentinpolku,Eerikinkatu,2018-07,3
Assistentinpolku,Eerikinkatu,2018-08,4
Assistentinpolku,Eerikinkatu,2018-09,10
Assistentinpolku,Eerikinkatu,2018-10,1
Assistentinpolku,Eerikinkatu,2018-11,2
Assistentinpolku,Eerikinkatu,2018-12,5
Assistentinpolku,Eerikinkatu,2019-01,4
Assistentinpolku,Eerikinkatu,2019-02,4
Assistentinpolku,Eerikinkatu,2019-03,8
Assistentinpolku,Eerikinkatu,2019-04,8
Assistentinpolku,Eerikinkatu,2019-05,9
Assistentinpolku,Eerikinkatu,2019-06,1
Assistentinpolku,Eerikinkatu,2019-07,2
Assistentinpolku,Eerikinkatu,2019-08,2
Assistentinpolku,Eerikinkatu,2019-09,14
Assistentinpolku,Eerikinkatu,2019-10,10
Assistentinpolku,Eerikinkatu,2019-11,4
Assistentinpolku,Eerikinkatu,2019-12,5
Assistentinpolku,Eerikinkatu,2020-01,3
Assistentinpolku,Eerikinkatu,2020-02,6
Assistentinpolku,Eerikinkatu,2020-03,2
Assistentinpolku,Eerikinkatu,2020-04,1
Assistentinpolku,Forum Marinum,2018-05,7
Assistentinpolku,Forum Marinum,2018-07,2
Assistentinpolku,Forum Marinum,2018-09,3
Assistentinpolku,Forum Marinum,2018-10,7
Assistentinpolku,Forum Marinum,2018-11,4
Assistentinpolku,Forum Marinum,2018-12,1
Assistentinpolku,Forum Marinum,2019-02,6
Assistentinpolku,Forum Marinum,2019-03,1
Assistentinpolku,Forum Marinum,2019-05,1
Assistentinpolku,Forum Marinum,2019-07,3
Assistentinpolku,Forum Marinum,2019-08,1
Assistentinpolku,Forum Marinum,2019-09,3
Assistentinpolku,Föri ,2018-05,5
Assistentinpolku,Föri ,2018-06,3
Assistentinpolku,Föri ,2018-07,5
Assistentinpolku,Föri ,2018-08,18
Assistentinpolku,Föri ,2018-09,20
Assistentinpolku,Föri ,2018-10,14
Assistentinpolku,Föri ,2018-11,7
Assistentinpolku,Föri ,2018-12,3
Assistentinpolku,Föri ,2019-01,1
Assistentinpolku,Föri ,2019-02,7
Assistentinpolku,Föri ,2019-04,3
Assistentinpolku,Föri ,2019-05,5
